#Nouvelle version: FWS_S7_20_v2 12056;;;;;;;;;;
#Ancienne version: FWS_S7_10_STD 12041;;;;;;;;;;
#Date: 04/12/20;;;;;;;;;;
#Begin;;;;;;;;;;
#NODE;STS_NODE;FAULT_CODE;STR_MON_NAME;STR_MON_TYPE;CST_NAME;STS_CST;TYPE;SUBTYPE;LIBELLE_1;LIBELLE_2
N_21_21_020;U;2121H022;DA02_21_21_020_01;STR_TITLE;TL21_COND_TWO_CAB_FANS;U;DA_ITEM;DA_MULTI;COND TWO CABIN FANS FAULT;
N_21_21_020;U;2121H022;DA02_21_21_020_02;STR_MSG;DA21_IMA_MULTI_MODULES;U;DA_ITEM;DA_MULTI; > IMA MULTIPLE MODULES;
N_21_21_020;U;21612610;IN01_21_21_020;STR_ALERTE;FWIN_CABIN_TEMP_REGUL_DEGRAD;M;INFO;NO_SUBTYPE; ;
N_21_21_020;U;21612610;IN01_21_21_020_01;STR_MSG;IN21_CABIN_TEMP_REGUL_DEGRAD;U;INFO;NO_SUBTYPE;CABIN TEMP REGUL DEGRADED;
N_21_21_020;U;2121N020;IS01_21_21_020;STR_ALERTE;FWIS_CAB_2_FANS;M;INOP_SYS;ALL_PHASE; ;
N_21_21_020;U;2121N020;IS01_21_21_020_01;STR_MSG;IS21_TWO_CAB_FANS;U;INOP_SYS;ALL_PHASE;TWO CAB FANS;
N_21_21_040;U;2121W040;AL_21_21_040;STR_ALERTE;FWAL_21_21_040;M;INDEPENDENT;LEVEL_2; ;
N_21_21_040;U;2121W040;AL_21_21_040_01;STR_TITLE;TL21_COND_ALL_CAB_FANS;U;INDEPENDENT;LEVEL_2;COND CABIN FANS FAULT;
N_21_21_040;U;2121W040;AL_21_21_040_02;STR_MSG;PR21_AIR_FLOW_HI;U;INDEPENDENT;LEVEL_2;  AIR FLOW ............................HI;  AIR FLOW HI
N_21_21_040;U;2121H041;DA01_21_21_040;STR_ALERTE;FWDA_21_21_041;U;DA_ITEM;NO_SUBTYPE; ;
N_21_21_040;U;2121H041;DA01_21_21_040_01;STR_TITLE;TL21_COND_ALL_CAB_FANS;U;DA_ITEM;NO_SUBTYPE;COND CABIN FANS FAULT;
N_21_21_040;U;2121H041;DA01_21_21_040_02;STR_MSG;DA21_COND_ALL_CABIN_FANS;U;DA_ITEM;NO_SUBTYPE; > COND CABIN FANS;
N_21_21_040;U;21612610;IN01_21_21_040;STR_ALERTE;FWIN_CABIN_TEMP_REGUL_DEGRAD;M;INFO;NO_SUBTYPE; ;
N_21_21_040;U;21612610;IN01_21_21_040_01;STR_MSG;IN21_CABIN_TEMP_REGUL_DEGRAD;U;INFO;NO_SUBTYPE;CABIN TEMP REGUL DEGRADED;
N_21_21_040;U;2121N040;IS01_21_21_040;STR_ALERTE;FWIS_CAB_FANS;M;INOP_SYS;ALL_PHASE; ;
N_21_21_040;U;2121N040;IS01_21_21_040_01;STR_MSG;IS21_ALL_CAB_FANS;U;INOP_SYS;ALL_PHASE;CAB FANS;
N_21_21_050;U;2121H050;DA01_21_21_050;STR_ALERTE;FWDA_21_21_050;M;DA_ITEM;DA_ONLY; ;
N_21_21_050;U;2121H050;DA01_21_21_050_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_050;U;2121H050;DA01_21_21_050_02;STR_MSG;DA21_COND_VCS_LOCAL_CTL_REDUN;U;DA_ITEM;DA_ONLY; > COND VENT LOCAL CTL REDUNDANCY;
N_21_21_060;U;2121H060;DA01_21_21_060;STR_ALERTE;FWDA_21_21_060;M;DA_ITEM;DA_ONLY; ;
N_21_21_060;U;2121H060;DA01_21_21_060_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_060;U;2121H060;DA01_21_21_060_02;STR_MSG;DA21_COND_CABIN_FILTER_CLOGGED;U;DA_ITEM;DA_ONLY; > COND CABIN FILTER CLOGGED;
N_21_21_150;U;2121W150;AL_21_21_150;STR_ALERTE;FWAL_21_21_150;M;INDEPENDENT;LEVEL_1; ;
N_21_21_150;U;2121W150;AL_21_21_150_01;STR_TITLE;TL21_COND_MIXER_PRESS_REGUL;U;INDEPENDENT;LEVEL_1;COND MIXER FLOW REGUL FAULT;
N_21_21_150;U;2121W150;AL_21_21_150_02;STR_MSG;PR21_AIR_FLOW_HI;U;INDEPENDENT;LEVEL_1;  AIR FLOW ............................HI;  AIR FLOW HI
N_21_21_150;U;2121W150;AL_21_21_150_03;STR_MSG;PR21_CAB_CKPT_AIR_REDUCED_RISK;U;INDEPENDENT;LEVEL_1;#NOM?;#NOM?
N_21_21_150;U;2121H151;DA01_21_21_150;STR_ALERTE;FWDA_21_21_151;U;DA_ITEM;NO_SUBTYPE; ;
N_21_21_150;U;2121H151;DA01_21_21_150_01;STR_TITLE;TL21_COND_MIXER_PRESS_REGUL;U;DA_ITEM;NO_SUBTYPE;COND MIXER FLOW REGUL FAULT;
N_21_21_150;U;2121H151;DA01_21_21_150_02;STR_MSG;DA21_COND_MIXER_PRESS_HI;U;DA_ITEM;NO_SUBTYPE; > COND MIXER PRESS HI;
N_21_21_150;U;2121H152;DA02_21_21_150;STR_ALERTE;FWDA_21_21_152;U;DA_ITEM;NO_SUBTYPE; ;
N_21_21_150;U;2121H152;DA02_21_21_150_01;STR_TITLE;TL21_COND_MIXER_PRESS_REGUL;U;DA_ITEM;NO_SUBTYPE;COND MIXER FLOW REGUL FAULT;
N_21_21_150;U;2121H152;DA02_21_21_150_02;STR_MSG;DA21_COND_MIXER_PRESS_LO;U;DA_ITEM;NO_SUBTYPE; > COND MIXER PRESS LO;
N_21_21_150;U;21212110;IN01_21_21_150;STR_ALERTE;FWIN_CAB_CKPT_AIR_REDUCED_RISK;M;INFO;NO_SUBTYPE; ;
N_21_21_150;U;21212110;IN01_21_21_150_01;STR_MSG;IN21_CAB_CKPT_AIR_REDUCED_RISK;U;INFO;NO_SUBTYPE;RISK OF REDUCED CABIN & CKPT AIR FLOW;
N_21_21_150;U;2121N150;IS01_21_21_150;STR_ALERTE;FWIS_MIXER_PRESS_REGUL;M;INOP_SYS;ALL_PHASE; ;
N_21_21_150;U;2121N150;IS01_21_21_150_01;STR_MSG;IS21_MIXER_PRESS_REGUL;U;INOP_SYS;ALL_PHASE;MIXER FLOW REGUL;
N_21_21_200;U;2121H200;DA01_21_21_200;STR_ALERTE;FWDA_21_21_200;M;DA_ITEM;DA_ONLY; ;
N_21_21_200;U;2121H200;DA01_21_21_200_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_200;U;2121H200;DA01_21_21_200_02;STR_MSG;DA21_VENT_CTL_REDUND;U;DA_ITEM;DA_ONLY; > COND VENT CTL REDUNDANCY;
N_21_21_250;U;2121W250;AL_21_21_250;STR_ALERTE;FWAL_21_21_250;M;INDEPENDENT;LEVEL_2; ;
N_21_21_250;U;2121W250;AL_21_21_250_01;STR_TITLE;TL21_COND_VENT_CTL_DEGRADED;U;INDEPENDENT;LEVEL_2;COND VENT CTL DEGRADED;
N_21_21_250;U;2121W250;AL_21_21_250_02;STR_MSG;PR21_IMA_2ND_LINE_COND;U;INDEPENDENT;LEVEL_2;     DUE TO IMA MODULE FAULT;
N_21_21_250;U;2121W250;AL_21_21_250_03;STR_MSG;PR21_BULK_ISOL_VALVES_OFF;U;INDEPENDENT;LEVEL_2;  CARGO BULK ISOL VALVES .............OFF;  CARGO BULK ISOL VALVES OFF
N_21_21_250;U;2121W250;AL_21_21_250_04;STR_MSG;PR21_BULK_ISOL_VALVES_OFF_NS;U;INDEPENDENT;LEVEL_2;--CARGO BULK ISOL VALVES .............OFF;#NOM?
N_21_21_250;U;2121W250;AL_21_21_250_05;STR_MSG;PR21_AFT_ISOL_VALVES_OFF;U;INDEPENDENT;LEVEL_2;  CARGO AFT ISOL VALVES ..............OFF;  CARGO AFT ISOL VALVES OFF
N_21_21_250;U;2121W250;AL_21_21_250_06;STR_MSG;PR21_AFT_ISOL_VALVES_OFF_NS;U;INDEPENDENT;LEVEL_2;--CARGO AFT ISOL VALVES ..............OFF;#NOM?
N_21_21_250;U;2121W250;AL_21_21_250_07;STR_MSG;PR21_FWD_ISOL_VALVES_OFF;U;INDEPENDENT;LEVEL_2;  CARGO FWD ISOL VALVES ..............OFF;  CARGO FWD ISOL VALVES OFF
N_21_21_250;U;2121W250;AL_21_21_250_08;STR_MSG;PR21_FWD_ISOL_VALVES_OFF_NS;U;INDEPENDENT;LEVEL_2;--CARGO FWD ISOL VALVES ..............OFF;#NOM?
N_21_21_250;U;2121W250;AL_21_21_250_09;STR_MSG;PR21_IFEC_OFF;U;INDEPENDENT;LEVEL_2;  IFEC ...............................OFF;  IFEC OFF
N_21_21_250;U;2121W250;AL_21_21_250_10;STR_MSG;PR21_IFEC_OFF_NS;U;INDEPENDENT;LEVEL_2;--IFEC ...............................OFF;#NOM?
N_21_21_250;U;2121W250;AL_21_21_250_11;STR_MSG;PR21_PAX_BBAND_OFF;U;INDEPENDENT;LEVEL_2;  PAX BBAND ..........................OFF;  PAX BBAND OFF
N_21_21_250;U;2121W250;AL_21_21_250_12;STR_MSG;PR21_PAX_BBAND_OFF_NS;U;INDEPENDENT;LEVEL_2;--PAX BBAND ..........................OFF;#NOM?
N_21_21_250;U;2121H251;DA01_21_21_250;STR_ALERTE;FWDA_21_21_251;U;DA_ITEM;NO_SUBTYPE; ;
N_21_21_250;U;2121H251;DA01_21_21_250_01;STR_TITLE;TL21_COND_VENT_CTL_DEGRADED;U;DA_ITEM;NO_SUBTYPE;COND VENT CTL DEGRADED;
N_21_21_250;U;2121H251;DA01_21_21_250_02;STR_MSG;DA21_COND_VENT_CTL;U;DA_ITEM;NO_SUBTYPE; > COND VENT CTL;
N_21_21_250;U;2121H252;DA02_21_21_250;STR_ALERTE;FWDA_21_21_252;U;DA_ITEM;DA_MULTI; ;
N_21_21_250;U;2121H252;DA02_21_21_250_01;STR_TITLE;TL21_COND_VENT_CTL_DEGRADED;U;DA_ITEM;DA_MULTI;COND VENT CTL DEGRADED;
N_21_21_250;U;2121H252;DA02_21_21_250_02;STR_MSG;DA21_IMA_MULTI_MODULES;U;DA_ITEM;DA_MULTI; > IMA MULTIPLE MODULES;
N_21_21_250;U;2121N040;IS01_21_21_250;STR_ALERTE;FWIS_CAB_FANS;M;INOP_SYS;ALL_PHASE; ;
N_21_21_250;U;2121N040;IS01_21_21_250_01;STR_MSG;IS21_ALL_CAB_FANS;U;INOP_SYS;ALL_PHASE;CAB FANS;
N_21_21_250;U;2128N012;IS02_21_21_250;STR_ALERTE;FWIS_BULK_CRG_VENT;M;INOP_SYS;ALL_PHASE; ;
N_21_21_250;U;2128N012;IS02_21_21_250_01;STR_MSG;IS21_BULK_CRG_VENT;U;INOP_SYS;ALL_PHASE;BULK CARGO VENT;
N_21_21_250;U;2123N010;IS03_21_21_250;STR_ALERTE;FWIS_LAV_GAL_EXTRACT;M;INOP_SYS;ALL_PHASE; ;
N_21_21_250;U;2123N010;IS03_21_21_250_01;STR_MSG;IS21_LAV_GAL_EXTRACT;U;INOP_SYS;ALL_PHASE;LAV & GALLEY EXTRACT;
N_21_21_250;U;2128N200;IS04_21_21_250;STR_ALERTE;FWIS_FWD_CRG_VENT;M;INOP_SYS;ALL_PHASE; ;
N_21_21_250;U;2128N200;IS04_21_21_250_01;STR_MSG;IS21_FWD_CRG_VENT;U;INOP_SYS;ALL_PHASE;FWD CARGO VENT;
N_21_21_250;U;2128N400;IS05_21_21_250;STR_ALERTE;FWIS_AFT_CRG_VENT;M;INOP_SYS;ALL_PHASE; ;
N_21_21_250;U;2128N400;IS05_21_21_250_01;STR_MSG;IS21_AFT_CRG_VENT;U;INOP_SYS;ALL_PHASE;AFT CARGO VENT;
N_21_21_250;U;2129N010;IS06_21_21_250;STR_ALERTE;FWIS_IFE_BAY_VENT;M;INOP_SYS;ALL_PHASE; ;
N_21_21_250;U;2129N010;IS06_21_21_250_01;STR_MSG;IS21_IFE_BAY_VENT;U;INOP_SYS;ALL_PHASE;IFE BAY VENT;
N_21_21_250;U;2129N040;IS07_21_21_250;STR_ALERTE;FWIS_CORE_VENT;M;INOP_SYS;ALL_PHASE; ;
N_21_21_250;U;2129N040;IS07_21_21_250_01;STR_MSG;IS21_CORE_VENT;U;INOP_SYS;ALL_PHASE;PAX BBAND VENT;
N_21_21_300;U;2121H300;DA01_21_21_300;STR_ALERTE;FWDA_21_21_300;M;DA_ITEM;DA_ONLY; ;
N_21_21_300;U;2121H300;DA01_21_21_300_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_300;U;2121H300;DA01_21_21_300_02;STR_MSG;DA21_COND_ALL_MIXER_PRESS_SENS;U;DA_ITEM;DA_ONLY; > COND ALL MIXER PRESS SENSORS;
N_21_21_310;U;2121H310;DA01_21_21_310;STR_ALERTE;FWDA_21_21_310;M;DA_ITEM;DA_ONLY; ;
N_21_21_310;U;2121H310;DA01_21_21_310_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_310;U;2121H310;DA01_21_21_310_02;STR_MSG;DA21_COND_PART_MIXER_PRESS_SENS;U;DA_ITEM;DA_ONLY; > COND PART MIXER PRESS SENSORS;
N_21_21_320;U;2121H320;DA01_21_21_320;STR_ALERTE;FWDA_21_21_320;M;DA_ITEM;DA_ONLY; ;
N_21_21_320;U;2121H320;DA01_21_21_320_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_320;U;2121H320;DA01_21_21_320_02;STR_MSG;DA21_COND_MOST_MIXER_PRESS_SENS;U;DA_ITEM;DA_ONLY; > COND MOST MIXER PRESS SENSORS;
N_21_21_400;U;2121H400;DA01_21_21_400;STR_ALERTE;FWDA_21_21_400;M;DA_ITEM;DA_ONLY; ;
N_21_21_400;U;2121H400;DA01_21_21_400_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_400;U;2121H400;DA01_21_21_400_02;STR_MSG;DA21_COND_FAN_SHUTOFF_FCTN;U;DA_ITEM;DA_ONLY; > COND FAN AUTO SHUTOFF CTL;
N_21_21_410;U;2121H410;DA01_21_21_410;STR_ALERTE;FWDA_21_21_410;M;DA_ITEM;DA_ONLY; ;
N_21_21_410;U;2121H410;DA01_21_21_410_01;STR_MSG;DA21_COND;U;DA_ITEM;DA_ONLY;COND;
N_21_21_410;U;2121H410;DA01_21_21_410_02;STR_MSG;DA21_COND_CAB_FAN_MONITORING;U;DA_ITEM;DA_ONLY; > COND CABIN FAN MONITORING;
N_21_22_010;U;2122H010;DA01_21_22_010;STR_ALERTE;FWDA_21_22_010;M;DA_ITEM;DA_ONLY; ;
N_21_22_010;U;2122H010;DA01_21_22_010_01;STR_MSG;DA21_VENT;U;DA_ITEM;DA_ONLY;VENT;
N_21_22_010;U;2122H010;DA01_21_22_010_02;STR_MSG;DA21_CKPT_HI_VENT_VLV_CLOSED;U;DA_ITEM;DA_ONLY; > VENT CKPT HI VENT VLV CLOSED;
N_21_22_020;U;2122H020;DA01_21_22_020;STR_ALERTE;FWDA_21_22_020;M;DA_ITEM;DA_ONLY; ;
N_21_22_020;U;2122H020;DA01_21_22_020_01;STR_MSG;DA21_VENT;U;DA_ITEM;DA_ONLY;VENT;
N_21_22_020;U;2122H020;DA01_21_22_020_02;STR_MSG;DA21_CKPT_HI_VENT_VLV_OPEN;U;DA_ITEM;DA_ONLY; > VENT CKPT HI VENT VLV OPEN;
N_21_22_030;U;2122H030;DA01_21_22_030;STR_ALERTE;FWDA_21_22_030;M;DA_ITEM;DA_ONLY; ;
N_21_22_030;U;2122H030;DA01_21_22_030_01;STR_MSG;DA21_VENT;U;DA_ITEM;DA_ONLY;VENT;
N_21_22_030;U;2122H030;DA01_21_22_030_02;STR_MSG;DA21_VENT_CKPT_INDIV_VLV;U;DA_ITEM;DA_ONLY; > VENT CKPT INDIV VLV;
N_21_22_040;U;2122H040;DA01_21_22_040;STR_ALERTE;FWDA_21_22_040;M;DA_ITEM;DA_ONLY; ;
N_21_22_040;U;2122H040;DA01_21_22_040_01;STR_MSG;DA21_VENT;U;DA_ITEM;DA_ONLY;VENT;
N_21_22_040;U;2122H040;DA01_21_22_040_02;STR_MSG;DA21_VENT_CKPT_HI_VENT_VLV;U;DA_ITEM;DA_ONLY; > VENT CKPT HI VENT VLV;
N_21_23_010;U;2123W010;AL_21_23_010;STR_ALERTE;FWAL_21_23_010;M;INDEPENDENT;LEVEL_1; ;
N_21_23_010;U;2123W010;AL_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;INDEPENDENT;LEVEL_1;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123W010;AL_21_23_010_02;STR_MSG;PR21_IMA_2ND_LINE_VENT;U;INDEPENDENT;LEVEL_1;     DUE TO IMA MODULE FAULT;
N_21_23_010;U;2123W010;AL_21_23_010_03;STR_MSG;PR21_LAV_GAL_EXTRAC_AVAIL_IN_FLT;U;INDEPENDENT;LEVEL_1;#NOM?;#NOM?
N_21_23_010;U;2123H011;DA01_21_23_010;STR_ALERTE;FWDA_21_23_011;U;DA_ITEM;NO_SUBTYPE; ;
N_21_23_010;U;2123H011;DA01_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;NO_SUBTYPE;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H011;DA01_21_23_010_02;STR_MSG;DA21_VENT_FWD_LAV_GAL_EXTRACT;U;DA_ITEM;NO_SUBTYPE; > VENT FWD LAV & GALLEYS EXTRACT;
N_21_23_010;U;2123H012;DA02_21_23_010;STR_ALERTE;FWDA_21_23_012;U;DA_ITEM;NO_SUBTYPE; ;
N_21_23_010;U;2123H012;DA02_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;NO_SUBTYPE;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H012;DA02_21_23_010_02;STR_MSG;DA21_VENT_AFT_LAV_GAL_EXTRACT;U;DA_ITEM;NO_SUBTYPE; > VENT AFT LAV & GALLEYS EXTRACT;
N_21_23_010;U;2123H013;DA03_21_23_010;STR_ALERTE;FWDA_21_23_013;U;DA_ITEM;NO_SUBTYPE; ;
N_21_23_010;U;2123H013;DA03_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;NO_SUBTYPE;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H013;DA03_21_23_010_02;STR_MSG;DA21_VENT_FWD_LAV_GAL_EXTR_FAN;U;DA_ITEM;NO_SUBTYPE; > VENT FWD LAV & GALLEYS EXTRACT FAN;
N_21_23_010;U;2123H014;DA04_21_23_010;STR_ALERTE;FWDA_21_23_014;U;DA_ITEM;DA_MULTI; ;
N_21_23_010;U;2123H014;DA04_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;DA_MULTI;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H014;DA04_21_23_010_02;STR_MSG;DA21_VENT_AFT_CAX_EXTR_FAN_M;U;DA_ITEM;DA_MULTI; > VENT AFT LAV & GALLEYS EXTRACT FAN;
N_21_23_010;U;2123H015;DA05_21_23_010;STR_ALERTE;FWDA_21_23_015;U;DA_ITEM;DA_MULTI; ;
N_21_23_010;U;2123H015;DA05_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;DA_MULTI;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H015;DA05_21_23_010_02;STR_MSG;DA21_IMA_MULTI_MODULES;U;DA_ITEM;DA_MULTI; > IMA MULTIPLE MODULES;
N_21_23_010;U;2123H016;DA06_21_23_010;STR_ALERTE;FWDA_21_23_016;U;DA_ITEM;DA_MULTI; ;
N_21_23_010;U;2123H016;DA06_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;DA_MULTI;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H016;DA06_21_23_010_02;STR_MSG;DA21_VENT_CEV_EXTR_FAN_M;U;DA_ITEM;DA_MULTI; > VENT CEV EXTRACT FAN;
N_21_23_010;U;2123H017;DA07_21_23_010;STR_ALERTE;FWDA_21_23_017;U;DA_ITEM;NO_SUBTYPE; ;
N_21_23_010;U;2123H017;DA07_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;NO_SUBTYPE;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H017;DA07_21_23_010_02;STR_MSG;DA21_VENT_CEV_CROSS_VLV_OPEN_M;U;DA_ITEM;NO_SUBTYPE; > VENT CEV CROSS VLV OPEN;
N_21_23_010;U;2123H018;DA08_21_23_010;STR_ALERTE;FWDA_21_23_018;U;DA_ITEM;DA_MULTI; ;
N_21_23_010;U;2123H018;DA08_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;DA_MULTI;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H018;DA08_21_23_010_02;STR_MSG;DA21_VENT_CEV_CROSS_VLV_CLSD_M;U;DA_ITEM;DA_MULTI; > VENT CEV CROSS VLV CLOSED;
N_21_23_010;U;2123H019;DA09_21_23_010;STR_ALERTE;FWDA_21_23_019;U;DA_ITEM;DA_MULTI; ;
N_21_23_010;U;2123H019;DA09_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;DA_MULTI;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H019;DA09_21_23_010_02;STR_MSG;DA21_VENT_CEV_SPRTN_VLV_OPN_M;U;DA_ITEM;DA_MULTI; > VENT CEV SEPARATION VLV OPEN;
N_21_23_010;U;2123H01A;DA10_21_23_010;STR_ALERTE;FWDA_21_23_01A;U;DA_ITEM;NO_SUBTYPE; ;
N_21_23_010;U;2123H01A;DA10_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;NO_SUBTYPE;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H01A;DA10_21_23_010_02;STR_MSG;DA21_VENT_CEV_SPRTN_VLV_CLSD_M;U;DA_ITEM;NO_SUBTYPE; > VENT CEV SEPARATION VLV CLOSED;
N_21_23_010;U;2123H01B;DA11_21_23_010;STR_ALERTE;FWDA_21_23_01B;U;DA_ITEM;NO_SUBTYPE; ;
N_21_23_010;U;2123H01B;DA11_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;NO_SUBTYPE;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H01B;DA11_21_23_010_02;STR_MSG;DA21_VENT_AFT_CAX_ISOL_VL_OP_M;U;DA_ITEM;NO_SUBTYPE; > VENT AFT LAV & GALLEYS ISOL VLV OPEN;
N_21_23_010;U;2123H01C;DA12_21_23_010;STR_ALERTE;FWDA_21_23_01C;U;DA_ITEM;NO_SUBTYPE; ;
N_21_23_010;U;2123H01C;DA12_21_23_010_01;STR_TITLE;TL21_VENT_LAV_GAL_EXTRACT_FAULT;U;DA_ITEM;NO_SUBTYPE;VENT LAV & GALLEYS EXTRACT FAULT;
N_21_23_010;U;2123H01C;DA12_21_23_010_02;STR_MSG;DA21_VENT_AFT_CAX_ISOL_VL_CL_M;U;DA_ITEM;NO_SUBTYPE; > VENT AFT LAV & GALLEYS ISOL VLV CLOSED;
N_21_23_010;U;21232010;IN01_21_23_010;STR_ALERTE;FWIN_LAV_GAL_EXTR_AVAIL_IN_FLT;M;INFO;NO_SUBTYPE; ;
N_21_23_010;U;21232010;IN01_21_23_010_01;STR_MSG;IN21_LAV_GAL_EXTRAC_AVAIL_IN_FLT;U;INFO;NO_SUBTYPE;LAV & GALLEYS EXTRACT AVAIL IN FLT;
N_21_23_010;U;2123N010;IS01_21_23_010;STR_ALERTE;FWIS_LAV_GAL_EXTRACT;M;INOP_SYS;ALL_PHASE; ;
N_21_23_010;U;2123N010;IS01_21_23_010_01;STR_MSG;IS21_LAV_GAL_EXTRACT;U;INOP_SYS;ALL_PHASE;LAV & GALLEY EXTRACT;
N_21_23_020;U;2123H020;DA01_21_23_020;STR_ALERTE;FWDA_21_23_020;M;DA_ITEM;DA_ONLY; ;
N_21_23_020;U;2123H020;DA01_21_23_020_01;STR_MSG;DA21_VENT;U;DA_ITEM;DA_ONLY;VENT;
N_21_23_020;U;2123H020;DA01_21_23_020_02;STR_MSG;DA21_VENT_FWD_LAV_GAL_ISOL_VL_OP;U;DA_ITEM;DA_ONLY; > VENT FWD LAV & GALLEYS ISOL VLV OPEN;
N_21_23_030;U;2123H030;DA01_21_23_030;STR_ALERTE;FWDA_21_23_030;M;DA_ITEM;DA_ONLY; ;
N_21_23_030;U;2123H030;DA01_21_23_030_01;STR_MSG;DA21_VENT;U;DA_ITEM;DA_ONLY;VENT;
N_21_23_030;U;2123H030;DA01_21_23_030_02;STR_MSG;DA21_VENT_AFT_LAV_GAL_ISOL_VL_OP;U;DA_ITEM;DA_ONLY; > VENT AFT LAV & GALLEYS ISOL VLV OPEN;
N_21_23_040;U;2123H040;DA01_21_23_040;STR_ALERTE;FWDA_21_23_040;M;DA_ITEM;DA_ONLY; ;
N_21_23_040;U;2123H040;DA01_21_23_040_01;STR_MSG;DA21_VENT;U;DA_ITEM;DA_ONLY;VENT;
